"Name","Loop","FollowParent","ShakeScreen","Time","RenderableScale","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","Scale","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","KillLoopingSoundsOnEnd","OutputEvent","ParentLookAtOffsetRadius","Shadow"
,,,,,,"sound_spear_goblin_die","SWF",,,,,"Object",,,,,,,,,
"spear_goblin_projectile_hit",,,,,,"sound_spear_goblin_projectile_hit","SWF",,,,,"Object",,,,,,,,,
"barbarian_deploy",,,,,,"sound_barbarian_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"angry_barbarian_deploy",,,,,,"sound_barbarian_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_angry_barbarian_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"barbarian_steps",,,,,,"sound_barbarian_steps","SWF",,,,,"Ground",100,,,,,,,,
"angry_barbarian_steps",,,,,,"sound_angry_barbarian_steps","SWF",,,,,"Ground",100,,,,,,,,
"barbarian_attack_start",,,,,,"sound_barbarian_attack_start","SWF",,,,,"Object",100,,,,,,,,
"angry_barbarian_attack_start",,,,,,"sound_angry_barbarian_attack_start","SWF",,,,,"Object",100,,,,,,,,
"barbarian_hit",,,,,,"sound_barbarian_hit","SWF",,,,,"Object",100,,,,,,,,
"barbarian_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_barbarian_die","SWF",,,,,"Object",,,,,,,,,
"ragebarbarian_deploy",,,,,,"sound_ragebarbarian_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
,,,,,,"sound_ragebarbarian_deploy_sfx","SWF",,,,,"Object",100,,,,,,,,
"ragebarbarian_attack_start",,,,,,"sound_ragebarbarian_attack_start_vo","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_ragebarbarian_attack_start","SWF",,,,,"Object",100,,,,,,,,
"ragebarbarian_hit",,,,,,"sound_ragebarbarian_attack_hit","SWF",,,,,"Object",100,,,,,,,,
"ragebarbarian_steps",,,,,,"sound_ragebarbarian_steps","SWF",,,,,"Ground",100,,,,,,,,
"executioner_deploy",,,,,,"sound_executioner_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"executioner_steps",,,,,,"sound_executioner_steps","SWF",,,,,"Ground",100,,,,,,,,
"executioner_attack_start",,,,,,"sound_executioner_attack","SWF",,,,,"Object",100,,,,,,,,
"goblins_deploy",,,,,,"sound_goblins_deploy","SWF",,,,,"Object",100,,,,,,,,
"goblins_steps","true",,,,,"sound_goblins_steps","SWF",,,,,"Ground",100,,,,,,,,
"goblins_attack_start","true",,,,,"sound_goblins_attack_start","SWF",,,,,"Object",100,,,,,,,,
"goblins_hit",,,,,,"sound_goblins_hit","SWF",,,,,"Object",100,,,,,,,,
"goblins_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_goblins_die","SWF",,,,,"Object",,,,,,,,,
"giant_skeleton_deploy",,,,,,"sound_giant_skeleton_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,"giant_skeleton_deploy_enemy",,,,,
,,,,,,"sound_giant_deploy_vo","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
"giant_skeleton_deploy_enemy",,,,,,"sound_giant_skeleton_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
,,,,,,"sound_giant_deploy_vo","SWF",,,,,"Base",,,,,,,,,
"giant_skeleton_steps",,,,,,"sound_giant_skeleton_steps","SWF",,,,,"Ground",100,,,,,,,,
"giant_skeleton_attack_start",,,,,,"sound_giant_skeleton_attack_start","SWF",,,,,"Object",100,,,,,,,,
"giant_skeleton_hit",,,,,,"sound_giant_skeleton_hit","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"giant_hit_sparks",,"Above",,,,,,,,,
,,,,25,,,"ParticleEmitter",,,"giant_hit_puff1",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","giant_hitpuff2",,"Object",,,,,,,,,
"giant_skeleton_die",,,,,,"sound_giant_skeleton_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","death_giant1","Object",100,,,"giant_die_enemy",,,,,
"royal_giant_deploy",,,,,,"sound_royal_giant_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,"royal_giant_deploy_enemy",,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
"royal_giant_deploy_enemy",,,,,,"sound_royal_giant_deploy_enemy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
"royal_giant_steps",,,,,,"sound_royal_giant_steps","SWF",,,,,"Ground",100,,,,,,,,
"royal_giant_attack_start",,,,,,"sound_royal_giant_attack_start","SWF",,,,,"Object",100,,,,,,,,
"royal_giant_projectile_fx",,,,,,"sound_royal_giant_projectile_fx","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","cannon_firePareticles",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","cannon_glow",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","cannon_glow_top",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","cannon_smoke1",,"Object",,,,,,,,,
"royal_giant_projectile_hit",,"true",,,,"sound_royal_giant_projectile_hit","ParticleEmitter",,,"cannon_hit_rock_emiter",,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"cannon_hit_smokePuff",,"Object",60,,,,,,,,
"royal_giant_die",,,,,,"sound_royal_giant_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","death_giant1","Object",100,,,"royal_giant_die_enemy",,,,,
"royal_giant_die_enemy",,,,,,"sound_royal_giant_die_enemy","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","death_giant1","Object",100,,,,,,,,
"giant_deploy",,,,,,"sound_giant_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,"giant_deploy_enemy",,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
"giant_deploy_enemy",,,,,,"sound_giant_deploy","SWF",,,"giant_deploy_dustPuff",,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
"giant_steps",,,,,,"sound_giant_steps","SWF",,,,,"Ground",100,,,,,,,,
"giant_attack_start",,,,,,"sound_giant_attack_start","SWF",,,,,"Object",100,,,,,,,,
"giant_hit",,,,,,"sound_giant_hit","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"giant_hit_sparks",,"Above",,,,,,,,,
,,,,25,,,"ParticleEmitter",,,"giant_hit_puff1",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","giant_hit_blow","giant_hitpuff2",,"Object",,,,,,,,,
"giant_die",,,,,,"sound_giant_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","death_giant1","Object",100,,,"giant_die_enemy",,,,,
"giant_die_enemy",,,,,,"sound_giant_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","death_giant1","Object",100,,,,,,,,
"death_giant1",,,,,,"sound_generic_death","ParticleEmitter",,,"giant_death_elixir_burst1",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","BloodCloud","giant_death_puff1",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","BloodCloud","giant_death_puff1_shadow",,"Shadow",,,,,,,,,
,,,,,,,"ParticleEmitter","sc/effects.sc","BloodCloud","giant_death_elixir_ground1",,"Base",,,,,,,,,
"pekka_deploy",,,,,,"sound_pekka_deploy","SWF",,,,,"Object",100,,,"pekka_deploy_enemy",,,,,
,,,,,,"sound_pekka_deploy_end","SWF",,,,,"Object",,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fx_largeSize","Base",,,,,,,,,
"pekka_deploy_enemy",,,,,,"sound_pekka_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_pekka_deploy_end","SWF",,,,,"Object",,,,,,,,,
"pekka_steps",,,,,,"sound_pekka_steps","SWF",,,,,"Ground",100,,,,,,,,
"pekka_attack_start",,,,,,"sound_pekka_attack_start","SWF",,,,,"Object",100,,,,,,,,
"pekka_hit",,,,,,"sound_pekka_hit","SWF",,,,,"Object",100,,,,,,,,
"pekka_die",,,,,,"sound_pekka_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,"pekka_die_enemy",,,,,
"pekka_die_enemy",,,,,,"sound_pekka_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
"baby_dragon_deploy",,,,,,"sound_baby_dragon_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_baby_dragon_deploy_end","SWF",,,,,"Object",,,,,,,,,
"baby_dragon_steps",,,,,,"sound_baby_dragon_steps","SWF",,,,,"Ground",100,,,,,,,,
"baby_dragon_attack_start",,,,,,"sound_baby_dragon_attack_start","SWF",,,,,"Object",100,,,,,,,,
"baby_dragon_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_baby_dragon_die","SWF",,,,,"Object",,,,,,,,,
"minion_deploy",,,,,,"sound_minion_deploy","SWF",,,,,"Object",100,,,,,,,,
"minion_steps",,,,,,"sound_minion_steps","SWF",,,,,"Ground",100,,,,,,,,
"minion_attack_start",,,,,,"sound_minion_attack_start","SWF",,,,,"Object",100,,,,,,,,
"minion_attack",,,,,,"sound_minion_attack","SWF",,,,,"Object",100,,,,,,,,
"minion_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_minion_die","SWF",,,,,"Object",,,,,,,,,
"mortar_attack",,,,,,"sound_mortar_attack","ParticleEmitter",,,"cannon_smoke1",,"Above",,,,,,,,,
"mortar_deploy",,,,,,"sound_mortar_deploy","SWF",,,,,"Object",100,,,,,,,,
"mortar_hit",,,350,,,"sound_mortar_hit","ParticleEmitter",,,"catapult_rock_Emitter",,"Object",60,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_hit_smoke",,"Object",60,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_smokePuff",,"Object",60,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_grass_emitter",,"Ground",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_hit_shadow",,"Shadow",,,,,,,,,
"mortar_die",,,,150,,,"ParticleEmitter",,,"TowerExplode_sparks",,"Above",,,,,,,,,
,,,,,,"sound_mortar_die","SWF","sc/effects.sc",,,,"Above",,,,,,,,,
,,,,40,,,"ParticleEmitter",,,"towerExplode_Smoke",,"Above",,,,,,,,,
,,,,150,,,"ParticleEmitter",,,"TowerExplode_rockEmitter",,"Object",,,,,,,,,
,,,,200,,,"ParticleEmitter",,,"TowerExplode_smokePuff",,"Above",,,,,,,,,
"balloon_deploy",,,,,,"sound_balloon_deploy","SWF",,,,,"Above",,,,,,,,,
"balloon_steps",,,,,,"sound_balloon_steps","SWF",,,,,"Ground",100,,,,,,,,
"balloon_attack_start",,,,,,"sound_balloon_attack_start","SWF",,,,,"Above",,,,,,,,,
"balloon_hit",,,350,,,"sound_balloon_hit","ParticleEmitter",,,"catapult_rock_Emitter",,"Object",60,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_hit_smoke",,"Object",60,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_smokePuff",,"Object",60,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_grass_emitter",,"Ground",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"catapult_hit_shadow",,"Shadow",,,,,,,,,
"balloon_die",,,,,,"sound_balloon_die","SWF","sc/effects.sc",,,,"Above",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"balloon_die_puff",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"ballon_die_smoke",,"Above",,,,,,,,,
"goblin_hut_deploy",,,,250,,"sound_goblin_hut_deploy","ParticleEmitter",,,"towerExplode_Smoke",,"Ground",,,,,,,,,
,,,,250,,,"ParticleEmitter",,,"Rock Pieces Emitter",,"Ground",,,,,,,,,
"goblin_hut_die",,,,,,"sound_goblin_hut_die","ParticleEmitter",,,"Goblin_hut_woodExplosion",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"TargetDummy_planks2",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"TowerExplode_smokePuff",,"Base",,,,,,,,,
"witch_deploy",,,,,,"sound_witch_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"witch_steps",,,,,,"sound_witch_steps","SWF",,,,,"Ground",100,,,,,,,,
"witch_attack_start",,,,,,"sound_witch_attack_start","SWF",,,,,"Object",100,,,,,,,,
"witch_hit",,,,,,"sound_witch_hit","SWF",,,,,"Object",100,,,,,,,,
"witch_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_witch_die","SWF",,,,,"Object",,,,,,,,,
"witch_deploy_skeleton",,,,,,"sound_witch_deploy_skeleton","SWF",,,,,"Object",100,,,,,,,,
"bomber_deploy",,,,,,"sound_bomber_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_bomber_deploy_end","SWF",,,,,"Object",,,,,,,,,
"bomber_steps","true",,,,,"sound_bomber_steps","SWF",,,,,"Ground",100,,,,,,,,
"bomber_attack","true",,,,,"sound_bomber_attack","SWF",,,,,"Object",100,,,,,,,,
"bomber_attack_start","true",,,,,"sound_bomber_attack_start","SWF",,,,,"Object",100,,,,,,,,
"bomber_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_bomber_die","SWF",,,,,"Object",,,,,,,,,
"skeleton_deploy",,,,,,"sound_skeleton_deploy","SWF",,,,,"Object",100,,,,,,,,
"skeleton_steps","true",,,,,"sound_skeleton_steps","SWF",,,,,"Ground",100,,,,,,,,
"skeleton_attack_start","true",,,,,"sound_skeleton_attack_start","SWF",,,,,"Object",100,,,,,,,,
"skeleton_hit",,,,,,"sound_skeleton_hit","SWF",,,,,"Object",100,,,,,,,,
"skeleton_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","bat_die","Object",100,,,,,,,,
,,,,,,"sound_skeleton_die","SWF",,,,,"Object",,,,,,,,,
"golem_deploy",,,,,,"sound_golem_deploy","SWF",,,,,"Object",100,,,"golem_deploy_enemy",,,,,
,,,,,,"sound_golem_deploy_end","SWF",,,,,"Object",100,,,,,,,,
"small_golem_deploy",,,,,,"sound_small_golem_deploy","SWF",,,,,"Object",100,,,,,,,,
"golem_deploy_enemy",,,,,,"sound_golem_deploy","SWF",,,,,"Object",100,,,"golem_deploy_enemy",,,,,
,,,,,,"sound_golem_deploy_end","SWF",,,,,"Object",100,,,,,,,,
"golem_steps",,,,,,"sound_golem_steps","SWF",,,,,"Ground",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"giant_hitpuff2",,"Base",,,,,,,,,
"golem_attack_start",,,,,,"sound_golem_attack_start","SWF",,,,,"Object",100,,,,,,,,
"small_golem_attack_start",,,,,,"sound_small_golem_attack_start","SWF",,,,,"Object",100,,,,,,,,
"golem_hit",,,,,,"sound_golem_hit","SWF",,,,,"Object",100,,,,,,,,
"small_golem_hit",,,,,,"sound_small_golem_hit","SWF",,,,,"Object",100,,,,,,,,
"golem_die",,,,200,,"sound_golem_die","ParticleEmitter",,,"towerExplode_Smoke",,"Object",100,,,"golem_die_enemy",,,,,
,,,,,,,"ParticleEmitter",,,"Small_rock_particle1",,"Object",,,,,,,,,
,,,,,,,"Effect",,,,"Death_player","Object",,,,,,,,,
"small_golem_die",,,,200,,"sound_small_golem_die","ParticleEmitter",,,"towerExplode_Smoke",,"Object",100,,,"golem_die_enemy",,,,,
,,,,,,,"ParticleEmitter",,,"Small_rock_particle1",,"Object",,,,,,,,,
,,,,,,,"Effect",,,,"Death_player","Object",,,,,,,,,
"golem_die_enemy",,,,200,,"sound_golem_die","ParticleEmitter",,,"towerExplode_Smoke",,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"Small_rock_particle1",,"Object",,,,,,,,,
,,,,,,,"Effect",,,,"Death_player","Object",,,,,,,,,
,,,,,,,"Effect","sc/effects.sc","RoundExplosion",,,"Object",,,,,,,,,
"valkyrie_deploy",,,,,,"sound_valkyrie_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_valkyrie_deploy_end","SWF",,,,,"Object",,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"valkyrie_steps",,,,,,"sound_valkyrie_steps","SWF",,,,,"Ground",100,,,,,,,,
"valkyrie_attack_start",,,,,,"sound_valkyrie_attack_start","SWF",,,,,"Object",100,,,,,,,,
"valkyrie_hit",,,,,,"sound_valkyrie_hit","SWF",,,,,"Object",100,,,,,,,,
"valkyrie_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",100,,,,,,,,
,,,,,,"sound_valkyrie_die","SWF",,,,,"Object",,,,,,,,,
"replay_drag",,,,,,,"ParticleEmitter",,,"touch_sparkle1",,"Above",,,,"replay_drag_enemy",,,,,
"replay_drag_enemy",,,,,,,"ParticleEmitter",,,"touch_sparkle2",,"Above",,,,,,,,,
"dragon_attack_start",,,,,,"sound_dragon_attack_start","SWF",,,,,"Object",100,,,,,,,,
"dragon_hit",,,,,,"sound_dragon_projectile_hit","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"ParticleEmitter",,,"dragon_hit_sparks",,"Base",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"dragon_fire_hit",,"Object",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"dragon_hit_smoke",,"Object",,,,,,,,,
"Dragon_Emitter","true","true",,,,,"ParticleEmitter",,,"DragonEmitterTrail",,"Above",50,,,,,,,,
,,,,,,,"ParticleEmitter",,,"dragon_trail_glow",,"Object",,,,,,,,,
"tesla_deploy",,,,,,"sound_tesla_deploy","SWF",,,,,"Above",,,,,,,,,
"tesla_up",,,,,,"sound_tesla_up","SWF",,,,,"Above",,,,,,,,,
"tesla_down",,,,,,"sound_tesla_down","SWF",,,,,"Above",,,,,,,,,
"Tesla_beam",,,,,,"sound_tesla_attack","SWF","sc/effects.sc","tesla_beam",,,"Above",,,,,80,,,,
"tesla_hit_effect",,"true",,,,"sound_tesla_hit","ParticleEmitter",,,"tesla_hit_spark",,"Object",70,,,,,,,,
,,,,,,,"ParticleEmitter",,,"tesla_spot_hit",,"Ground",,,,,,,,,
,,,,,,,"ParticleEmitter",,,"tesla_smoke_hit",,"Above",,,,,,,,,
,,,,150,,,"ParticleEmitter",,,"tesla_electric_hit",,"Above",,,,,,,,,
"tesla_die",,,,,,,"Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",,,,,,,,,
,,,,,,"Boulder impact","SWF",,,,,"Object",,,,,,,,,
"elixircollector_deploy",,,,,,"sound_elixircollector_deploy","SWF",,,,,"Above",,,,,,,,,
"elixircollector_die",,,,,,"sound_elixircollector_die","Effect","sc/effects.sc","RoundExplosion","Death_sparkle_still1","Death_player","Object",,,,,,,,,
,,,,,,"Boulder impact","SWF",,,,,"Object",,,,,,,,,
"chr_wizard_deploy",,,,,,"sound_chr_wizard_deploy","SWF",,,,,"Object",100,,,,,,,,
,,,,,,"sound_chr_wizard_deploy_end","SWF",,,,,"Object",100,,,,,,,,
,,,,,,,"Effect",,,,"Deploy_ground_fX_mediumSize","Base",,,,,,,,,
"chr_wizard_steps","true",,,,,"sound_chr_wizard_steps","SWF",,,,,"Ground",100,,,,,,,,
